*ERROR* 	v8.1.4	2024/07/20 - 08:27:38: Date must be a string at line 179 in file classes/helper/HelperCalendar.php
*ERROR* 	v8.1.4	2024/07/20 - 04:50:19: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 04:50:19: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 04:50:19: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 04:50:20: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 04:50:20: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 05:53:48: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 05:53:48: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 07:17:14: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 07:17:16: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 07:17:18: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 07:17:19: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:04:23: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
